"","date","time","open","high","low","close","volume"
"1",20221205,211500,14871,14890,14864,14889,2625
"2",20221205,213000,14888,14894,14880,14884,1880
"3",20221205,214500,14884,14886,14856,14861,3883
"4",20221205,220000,14860,14866,14853,14861,2728
"5",20221205,221500,14861,14868,14847,14848,2544
"6",20221205,223000,14850,14883,14847,14873,6081
"7",20221205,224500,14873,14876,14852,14852,3715
"8",20221205,230000,14852,14853,14812,14848,10553
"9",20221205,231500,14847,14852,14834,14837,3263
"10",20221205,233000,14837,14862,14826,14862,3577
"11",20221205,234500,14862,14869,14858,14865,2379
"12",20221206,0,14865,14888,14860,14878,3331
"13",20221206,1500,14878,14884,14851,14863,2558
"14",20221206,3000,14864,14864,14839,14850,2117
"15",20221206,4500,14850,14858,14832,14834,1731
"16",20221206,10000,14833,14843,14825,14841,1921
"17",20221206,11500,14841,14851,14838,14840,956
"18",20221206,13000,14839,14842,14822,14823,1295
"19",20221206,14500,14824,14832,14807,14817,2675
"20",20221206,20000,14816,14836,14813,14836,927
"21",20221206,21500,14835,14840,14824,14833,772
"22",20221206,23000,14833,14841,14827,14830,633
"23",20221206,24500,14830,14831,14800,14800,1626
"24",20221206,30000,14800,14814,14794,14813,1357
"25",20221206,31500,14813,14814,14796,14800,652
"26",20221206,33000,14799,14803,14790,14798,736
"27",20221206,34500,14798,14814,14789,14811,777
"28",20221206,40000,14811,14819,14803,14818,857
"29",20221206,41500,14817,14820,14804,14807,673
"30",20221206,43000,14807,14825,14807,14820,763
"31",20221206,44500,14822,14835,14814,14827,1070
"32",20221206,84500,14874,14879,14834,14867,13082
"33",20221206,90000,14868,14894,14854,14888,17257
"34",20221206,91500,14889,14893,14824,14834,14654
"35",20221206,93000,14834,14845,14790,14827,17545
"36",20221206,94500,14827,14841,14794,14807,10178
"37",20221206,1e+05,14805,14836,14785,14830,9723
"38",20221206,101500,14830,14850,14825,14832,7828
"39",20221206,103000,14832,14856,14821,14825,6797
"40",20221206,104500,14825,14835,14816,14824,5509
"41",20221206,110000,14825,14840,14812,14836,4483
"42",20221206,111500,14837,14839,14808,14814,4079
"43",20221206,113000,14816,14820,14777,14788,7710
"44",20221206,114500,14790,14806,14775,14805,5434
"45",20221206,120000,14804,14809,14792,14792,3083
"46",20221206,121500,14793,14795,14763,14765,5812
"47",20221206,123000,14764,14775,14758,14771,4963
"48",20221206,124500,14770,14771,14743,14744,4761
"49",20221206,130000,14743,14749,14711,14711,8563
"50",20221206,131500,14711,14727,14681,14688,10546
"51",20221206,133000,14686,14694,14672,14676,10015
"52",20221206,150000,14676,14699,14657,14693,5148
"53",20221206,151500,14692,14699,14690,14693,1689
"54",20221206,153000,14693,14712,14691,14704,2233
"55",20221206,154500,14704,14705,14694,14694,1149
"56",20221206,160000,14695,14716,14689,14715,2354
"57",20221206,161500,14716,14719,14687,14687,1878
"58",20221206,163000,14687,14704,14670,14700,3524
"59",20221206,164500,14699,14708,14698,14704,1485
"60",20221206,170000,14705,14709,14693,14693,1059
"61",20221206,171500,14694,14708,14693,14699,841
"62",20221206,173000,14700,14706,14691,14704,849
"63",20221206,174500,14703,14706,14693,14695,725
"64",20221206,180000,14695,14700,14691,14698,572
"65",20221206,181500,14698,14700,14674,14678,1586
"66",20221206,183000,14678,14691,14675,14687,1047
"67",20221206,184500,14686,14694,14684,14687,749
"68",20221206,190000,14688,14690,14680,14680,567
"69",20221206,191500,14680,14693,14678,14693,720
"70",20221206,193000,14693,14701,14692,14696,1132
"71",20221206,194500,14696,14700,14690,14699,553
"72",20221206,2e+05,14700,14716,14697,14714,2225
"73",20221206,201500,14715,14718,14705,14713,1500
"74",20221206,203000,14713,14717,14705,14706,894
"75",20221206,204500,14707,14709,14701,14701,767
"76",20221206,210000,14701,14704,14677,14683,2962
"77",20221206,211500,14683,14700,14682,14698,1532
"78",20221206,213000,14699,14706,14691,14693,1289
"79",20221206,214500,14693,14700,14681,14699,1620
"80",20221206,220000,14699,14702,14692,14702,838
"81",20221206,221500,14702,14702,14692,14696,652
"82",20221206,223000,14696,14713,14654,14656,9187
"83",20221206,224500,14655,14680,14640,14642,9507
"84",20221206,230000,14642,14660,14614,14630,8652
"85",20221206,231500,14631,14654,14618,14637,5573
"86",20221206,233000,14637,14647,14616,14639,4481
"87",20221206,234500,14638,14647,14630,14632,2450
"88",20221207,0,14632,14646,14624,14637,2272
"89",20221207,1500,14636,14644,14626,14641,1515
"90",20221207,3000,14642,14650,14633,14645,1661
"91",20221207,4500,14643,14652,14630,14636,1866
"92",20221207,10000,14637,14652,14635,14639,1047
"93",20221207,11500,14639,14641,14606,14618,3258
"94",20221207,13000,14618,14627,14615,14619,838
"95",20221207,14500,14618,14619,14604,14610,1220
"96",20221207,20000,14609,14614,14587,14591,2506
"97",20221207,21500,14590,14596,14575,14576,1979
"98",20221207,23000,14576,14602,14570,14599,1799
"99",20221207,24500,14600,14610,14595,14603,1140
"100",20221207,30000,14603,14605,14579,14586,935
"101",20221207,31500,14586,14596,14581,14581,722
"102",20221207,33000,14581,14588,14567,14587,1088
"103",20221207,34500,14587,14594,14580,14580,559
"104",20221207,40000,14581,14602,14581,14587,676
"105",20221207,41500,14587,14589,14570,14582,971
"106",20221207,43000,14582,14602,14579,14596,870
"107",20221207,44500,14597,14615,14595,14605,1393
"108",20221207,84500,14605,14654,14600,14645,13484
"109",20221207,90000,14645,14684,14616,14675,17727
"110",20221207,91500,14675,14728,14668,14726,15631
"111",20221207,93000,14727,14754,14721,14743,15279
"112",20221207,94500,14741,14779,14725,14764,12710
"113",20221207,1e+05,14764,14780,14733,14733,10419
"114",20221207,101500,14733,14743,14682,14695,14011
"115",20221207,103000,14694,14702,14642,14658,13316
"116",20221207,104500,14658,14661,14631,14636,8274
"117",20221207,110000,14636,14637,14592,14622,11390
"118",20221207,111500,14622,14652,14616,14634,8248
"119",20221207,113000,14634,14659,14634,14658,3847
"120",20221207,114500,14658,14682,14657,14674,6550
"121",20221207,120000,14673,14693,14668,14688,4569
"122",20221207,121500,14688,14700,14650,14650,5923
"123",20221207,123000,14651,14664,14628,14664,7724
"124",20221207,124500,14663,14665,14639,14643,3342
"125",20221207,130000,14642,14651,14633,14644,3650
"126",20221207,131500,14642,14649,14614,14621,4998
"127",20221207,133000,14620,14632,14611,14625,5573
"128",20221207,150000,14608,14632,14583,14583,6136
"129",20221207,151500,14583,14603,14580,14583,3827
"130",20221207,153000,14585,14588,14556,14559,4979
"131",20221207,154500,14559,14569,14552,14557,3004
"132",20221207,160000,14558,14573,14547,14564,4002
"133",20221207,161500,14564,14578,14564,14578,2151
"134",20221207,163000,14577,14579,14555,14563,1799
"135",20221207,164500,14564,14591,14559,14587,2566
"136",20221207,170000,14587,14588,14573,14581,1417
"137",20221207,171500,14581,14584,14563,14570,1283
"138",20221207,173000,14570,14572,14551,14554,1825
"139",20221207,174500,14554,14569,14549,14563,1533
"140",20221207,180000,14563,14570,14559,14566,771
"141",20221207,181500,14566,14575,14557,14559,949
"142",20221207,183000,14559,14565,14555,14565,732
"143",20221207,184500,14565,14569,14560,14568,534
"144",20221207,190000,14569,14574,14568,14568,721
"145",20221207,191500,14569,14577,14567,14571,663
"146",20221207,193000,14570,14576,14559,14559,800
"147",20221207,194500,14558,14566,14557,14565,893
"148",20221207,2e+05,14566,14571,14560,14562,636
"149",20221207,201500,14563,14563,14523,14529,4656
"150",20221207,203000,14529,14535,14519,14530,2928
"151",20221207,204500,14531,14539,14528,14535,1359
"152",20221207,210000,14535,14538,14523,14524,1530
"153",20221207,211500,14524,14552,14517,14547,3483
"154",20221207,213000,14549,14569,14547,14553,3949
"155",20221207,214500,14553,14588,14550,14575,4302
"156",20221207,220000,14576,14585,14566,14576,2814
"157",20221207,221500,14577,14590,14562,14568,2750
"158",20221207,223000,14567,14626,14561,14595,12088
"159",20221207,224500,14594,14604,14545,14567,10577
"160",20221207,230000,14567,14597,14545,14592,10654
"161",20221207,231500,14592,14601,14565,14596,5763
"162",20221207,233000,14595,14600,14566,14585,4304
"163",20221207,234500,14584,14616,14583,14604,5012
"164",20221208,0,14605,14637,14583,14589,7442
"165",20221208,1500,14590,14594,14561,14561,4004
"166",20221208,3000,14561,14580,14556,14575,2902
"167",20221208,4500,14576,14585,14568,14582,1623
"168",20221208,10000,14581,14589,14569,14579,1623
"169",20221208,11500,14580,14587,14571,14574,947
"170",20221208,13000,14575,14592,14570,14587,936
"171",20221208,14500,14586,14596,14582,14587,782
"172",20221208,20000,14588,14607,14584,14604,1150
"173",20221208,21500,14604,14611,14598,14602,949
"174",20221208,23000,14602,14605,14594,14602,480
"175",20221208,24500,14603,14604,14584,14586,522
"176",20221208,30000,14585,14602,14572,14601,762
"177",20221208,31500,14600,14602,14585,14597,434
"178",20221208,33000,14597,14609,14592,14604,479
"179",20221208,34500,14605,14609,14595,14597,425
"180",20221208,40000,14599,14610,14586,14593,665
"181",20221208,41500,14592,14600,14582,14592,459
"182",20221208,43000,14592,14602,14589,14592,540
"183",20221208,44500,14591,14606,14590,14595,724
"184",20221208,84500,14570,14571,14537,14557,12960
"185",20221208,90000,14558,14561,14505,14531,20739
"186",20221208,91500,14531,14548,14462,14463,23300
"187",20221208,93000,14464,14484,14445,14478,16302
"188",20221208,94500,14480,14488,14420,14457,16740
"189",20221208,1e+05,14457,14483,14412,14459,14778
"190",20221208,101500,14458,14495,14452,14489,9565
"191",20221208,103000,14490,14525,14484,14501,13476
"192",20221208,104500,14501,14519,14458,14467,9745
"193",20221208,110000,14465,14516,14461,14514,6591
"194",20221208,111500,14514,14535,14500,14510,8732
"195",20221208,113000,14510,14526,14495,14511,4751
"196",20221208,114500,14512,14525,14506,14514,3015
"197",20221208,120000,14514,14545,14510,14534,7044
"198",20221208,121500,14535,14542,14522,14536,3826
"199",20221208,123000,14537,14545,14513,14516,4678
"200",20221208,124500,14514,14527,14498,14502,4387
"201",20221208,130000,14501,14511,14489,14490,3772
"202",20221208,131500,14491,14510,14490,14500,4287
"203",20221208,133000,14502,14518,14495,14496,5148
"204",20221208,150000,14511,14527,14508,14523,2847
"205",20221208,151500,14521,14525,14516,14523,1170
"206",20221208,153000,14523,14539,14522,14536,1898
"207",20221208,154500,14535,14543,14532,14533,1737
"208",20221208,160000,14533,14539,14525,14528,1624
"209",20221208,161500,14528,14541,14524,14540,1151
"210",20221208,163000,14539,14550,14535,14536,2502
"211",20221208,164500,14536,14546,14535,14545,764
"212",20221208,170000,14545,14552,14536,14547,1501
"213",20221208,171500,14547,14549,14537,14538,608
"214",20221208,173000,14537,14548,14536,14542,773
"215",20221208,174500,14542,14542,14527,14535,1189
"216",20221208,180000,14535,14542,14534,14536,574
"217",20221208,181500,14536,14541,14534,14539,442
"218",20221208,183000,14539,14543,14534,14535,421
"219",20221208,184500,14536,14539,14530,14536,477
"220",20221208,190000,14536,14540,14529,14531,617
"221",20221208,191500,14531,14535,14527,14534,618
"222",20221208,193000,14534,14540,14533,14539,439
"223",20221208,194500,14539,14548,14538,14544,978
"224",20221208,2e+05,14544,14545,14536,14537,412
"225",20221208,201500,14537,14547,14537,14543,494
"226",20221208,203000,14543,14585,14539,14577,5527
"227",20221208,204500,14576,14580,14566,14579,2534
"228",20221208,210000,14579,14593,14579,14582,3440
"229",20221208,211500,14583,14595,14581,14584,1893
"230",20221208,213000,14584,14613,14581,14601,5499
"231",20221208,214500,14600,14602,14580,14588,3279
"232",20221208,220000,14588,14596,14572,14577,2838
"233",20221208,221500,14576,14593,14570,14589,2610
"234",20221208,223000,14590,14619,14570,14570,9802
"235",20221208,224500,14570,14633,14559,14632,11359
"236",20221208,230000,14633,14648,14627,14642,7791
"237",20221208,231500,14642,14651,14627,14646,4943
"238",20221208,233000,14647,14651,14632,14637,2969
"239",20221208,234500,14636,14645,14632,14643,1725
"240",20221209,0,14643,14654,14617,14628,4261
"241",20221209,1500,14629,14630,14610,14628,2516
"242",20221209,3000,14628,14641,14621,14637,1592
"243",20221209,4500,14637,14642,14631,14633,989
"244",20221209,10000,14632,14638,14616,14630,1745
"245",20221209,11500,14630,14631,14618,14619,653
"246",20221209,13000,14619,14625,14615,14621,756
"247",20221209,14500,14621,14633,14612,14632,804
"248",20221209,20000,14632,14641,14630,14631,720
"249",20221209,21500,14631,14659,14628,14659,1555
"250",20221209,23000,14659,14668,14656,14665,1664
"251",20221209,24500,14666,14670,14654,14658,774
"252",20221209,30000,14658,14661,14625,14636,1372
"253",20221209,31500,14634,14645,14631,14637,510
"254",20221209,33000,14636,14645,14630,14641,404
"255",20221209,34500,14640,14657,14639,14645,574
"256",20221209,40000,14645,14648,14632,14641,656
"257",20221209,41500,14640,14651,14637,14648,437
"258",20221209,43000,14648,14651,14636,14640,579
"259",20221209,44500,14639,14652,14625,14652,1170
"260",20221209,84500,14640,14641,14603,14616,12829
"261",20221209,90000,14615,14635,14580,14584,18147
"262",20221209,91500,14584,14662,14573,14654,20680
"263",20221209,93000,14654,14665,14612,14629,17212
"264",20221209,94500,14631,14656,14616,14625,11432
"265",20221209,1e+05,14625,14652,14625,14646,6697
"266",20221209,101500,14647,14705,14646,14695,18405
"267",20221209,103000,14695,14710,14686,14692,7277
"268",20221209,104500,14691,14697,14670,14692,6735
"269",20221209,110000,14692,14721,14688,14717,7640
"270",20221209,111500,14717,14722,14696,14698,4426
"271",20221209,113000,14698,14700,14679,14684,4414
"272",20221209,114500,14684,14693,14676,14682,3885
"273",20221209,120000,14683,14704,14675,14698,3949
"274",20221209,121500,14699,14700,14687,14696,2131
"275",20221209,123000,14695,14696,14674,14674,2808
"276",20221209,124500,14674,14684,14669,14681,2762
"277",20221209,130000,14681,14694,14670,14689,3511
"278",20221209,131500,14689,14695,14669,14679,3866
"279",20221209,133000,14680,14716,14676,14707,7792
"280",20221209,150000,14726,14743,14718,14721,4546
"281",20221209,151500,14722,14734,14713,14730,2183
"282",20221209,153000,14730,14737,14728,14731,1330
"283",20221209,154500,14732,14735,14725,14732,934
"284",20221209,160000,14733,14735,14724,14729,1035
"285",20221209,161500,14728,14737,14724,14725,1492
"286",20221209,163000,14725,14729,14721,14723,798
"287",20221209,164500,14724,14731,14724,14731,376
"288",20221209,170000,14729,14739,14723,14737,1368
"289",20221209,171500,14738,14747,14734,14745,1909
"290",20221209,173000,14746,14749,14732,14732,1365
"291",20221209,174500,14732,14739,14731,14736,491
"292",20221209,180000,14735,14746,14735,14737,633
"293",20221209,181500,14736,14742,14735,14740,321
"294",20221209,183000,14740,14740,14736,14740,201
"295",20221209,184500,14740,14757,14735,14751,1525
"296",20221209,190000,14750,14764,14750,14757,2084
"297",20221209,191500,14758,14763,14756,14761,795
"298",20221209,193000,14760,14767,14756,14757,1083
"299",20221209,194500,14757,14767,14757,14762,724
"300",20221209,2e+05,14763,14765,14758,14759,589
"301",20221209,201500,14760,14773,14757,14772,985
"302",20221209,203000,14772,14778,14770,14772,1670
"303",20221209,204500,14772,14782,14770,14779,1361
"304",20221209,210000,14779,14783,14772,14772,1166
"305",20221209,211500,14772,14778,14770,14772,1090
"306",20221209,213000,14773,14777,14690,14705,18068
"307",20221209,214500,14707,14735,14703,14732,5075
"308",20221209,220000,14732,14735,14681,14691,5170
"309",20221209,221500,14691,14706,14686,14698,3718
"310",20221209,223000,14698,14728,14656,14725,12210
"311",20221209,224500,14724,14730,14695,14702,5723
"312",20221209,230000,14703,14726,14682,14716,6751
"313",20221209,231500,14717,14719,14698,14709,3067
"314",20221209,233000,14708,14725,14703,14710,3116
"315",20221209,234500,14710,14736,14703,14731,3644
"316",20221210,0,14731,14752,14731,14740,5287
"317",20221210,1500,14742,14768,14741,14768,3997
"318",20221210,3000,14767,14769,14742,14757,3070
"319",20221210,4500,14757,14763,14751,14753,1547
"320",20221210,10000,14754,14756,14738,14748,2127
"321",20221210,11500,14748,14748,14730,14730,1608
"322",20221210,13000,14731,14742,14724,14730,1221
"323",20221210,14500,14729,14738,14718,14723,1145
"324",20221210,20000,14722,14723,14703,14704,1595
"325",20221210,21500,14705,14713,14694,14711,1545
"326",20221210,23000,14710,14718,14707,14715,870
"327",20221210,24500,14714,14718,14708,14713,373
"328",20221210,30000,14712,14712,14691,14707,1086
"329",20221210,31500,14707,14721,14706,14717,751
"330",20221210,33000,14717,14723,14707,14712,532
"331",20221210,34500,14711,14716,14705,14710,334
"332",20221210,40000,14710,14719,14702,14711,651
"333",20221210,41500,14711,14713,14701,14707,439
"334",20221210,43000,14706,14707,14673,14683,1649
"335",20221210,44500,14682,14683,14653,14657,2844
"336",20221212,84500,14645,14650,14583,14590,17494
"337",20221212,90000,14590,14596,14495,14508,27743
"338",20221212,91500,14508,14547,14505,14523,14107
"339",20221212,93000,14524,14554,14510,14520,11939
"340",20221212,94500,14519,14532,14484,14523,16408
"341",20221212,1e+05,14521,14523,14488,14503,7271
"342",20221212,101500,14504,14524,14491,14514,5729
"343",20221212,103000,14514,14550,14506,14547,8774
"344",20221212,104500,14546,14549,14500,14511,7723
"345",20221212,110000,14512,14532,14503,14526,3957
"346",20221212,111500,14525,14546,14521,14538,4205
"347",20221212,113000,14537,14545,14520,14542,4375
"348",20221212,114500,14541,14556,14533,14556,3984
"349",20221212,120000,14556,14576,14553,14571,7947
"350",20221212,121500,14570,14572,14556,14564,2970
