"","date","time","open","high","low","close","volume"
"1",20061205,0,7700,7704,7567,7610,8029
"2",20061206,0,7616,7715,7611,7714,6789
"3",20061207,0,7714,7733,7671,7698,6371
"4",20061208,0,7685,7685,7600,7633,7141
"5",20061211,0,7640,7642,7575,7614,5572
"6",20061212,0,7600,7614,7455,7467,9837
"7",20061213,0,7469,7500,7376,7450,8766
"8",20061214,0,7465,7492,7426,7478,5288
"9",20061215,0,7528,7558,7525,7540,4713
"10",20061218,0,7541,7669,7538,7634,5239
"11",20061219,0,7634,7676,7582,7593,3962
"12",20061220,0,7620,7675,7611,7662,2411
"13",20061221,0,7672,7710,7617,7642,8271
"14",20061222,0,7625,7692,7625,7692,6319
"15",20061225,0,7676,7698,7655,7679,3601
"16",20061226,0,7684,7801,7674,7789,6625
"17",20061227,0,7803,7845,7777,7795,5450
"18",20061228,0,7846,7850,7750,7800,6493
"19",20061229,0,7817,7888,7792,7880,6164
"20",20070102,0,7904,7994,7881,7988,5311
"21",20070103,0,8000,8036,7956,7989,6407
"22",20070104,0,7974,7998,7938,7976,5826
"23",20070105,0,7988,7989,7826,7830,9448
"24",20070108,0,7787,7808,7730,7736,6513
"25",20070109,0,7763,7835,7750,7822,7453
"26",20070110,0,7785,7785,7670,7693,7679
"27",20070111,0,7720,7738,7596,7626,8578
"28",20070112,0,7688,7795,7686,7786,7959
"29",20070115,0,7830,7834,7748,7804,5216
"30",20070116,0,7828,7845,7785,7815,3895
"31",20070117,0,7720,7856,7720,7835,2887
"32",20070118,0,7864,7930,7841,7922,7952
"33",20070119,0,7886,7921,7860,7862,6588
"34",20070122,0,7870,7900,7780,7885,9817
"35",20070123,0,7849,7893,7825,7885,6379
"36",20070124,0,7947,7995,7935,7993,5400
"37",20070125,0,8020,8030,7960,7975,5647
"38",20070126,0,7922,7922,7811,7837,8979
"39",20070129,0,7834,7857,7759,7787,6147
"40",20070130,0,7800,7805,7751,7769,5732
"41",20070131,0,7776,7795,7639,7734,8545
"42",20070201,0,7777,7785,7692,7740,7204
"43",20070202,0,7785,7839,7780,7810,7393
"44",20070205,0,7781,7835,7766,7779,6042
"45",20070206,0,7790,7895,7790,7889,7358
"46",20070207,0,7880,7896,7861,7868,4276
"47",20070208,0,7890,7908,7805,7870,8656
"48",20070209,0,7865,7920,7844,7884,6653
"49",20070212,0,7836,7844,7785,7792,5667
"50",20070213,0,7785,7830,7742,7743,5915
"51",20070214,0,7786,7839,7776,7833,4345
"52",20070226,0,7900,7936,7899,7899,2373
"53",20070227,0,7912,7970,7912,7925,5565
"54",20070301,0,7770,7775,7653,7660,9863
"55",20070302,0,7611,7692,7610,7668,6240
"56",20070303,0,7610,7640,7555,7589,7474
"57",20070305,0,7549,7549,7268,7285,11911
"58",20070306,0,7319,7422,7319,7409,7467
"59",20070307,0,7445,7468,7381,7427,9311
"60",20070308,0,7420,7535,7416,7523,8790
"61",20070309,0,7538,7566,7492,7517,7440
"62",20070312,0,7540,7595,7540,7595,5537
"63",20070313,0,7595,7642,7571,7624,5059
"64",20070314,0,7500,7520,7435,7469,7407
"65",20070315,0,7543,7676,7525,7652,7490
"66",20070316,0,7600,7726,7589,7666,7306
"67",20070319,0,7673,7730,7660,7710,4323
"68",20070320,0,7766,7773,7702,7721,3189
"69",20070321,0,7745,7760,7714,7753,2107
"70",20070322,0,7804,7855,7803,7829,5952
"71",20070323,0,7841,7895,7802,7855,7752
"72",20070326,0,7865,7890,7845,7883,3932
"73",20070327,0,7855,7940,7811,7824,9149
"74",20070328,0,7800,7832,7736,7750,8841
"75",20070329,0,7715,7856,7705,7838,10066
"76",20070330,0,7852,7878,7794,7834,8209
"77",20070402,0,7859,7915,7812,7849,8796
"78",20070403,0,7841,7922,7825,7919,7895
"79",20070404,0,7988,8010,7957,7999,6851
"80",20070409,0,8027,8077,8025,8072,4512
"81",20070410,0,8050,8065,8008,8053,5907
"82",20070411,0,8058,8107,8044,8095,6176
"83",20070412,0,8052,8093,8038,8077,5003
"84",20070413,0,8100,8107,7972,7990,9096
"85",20070414,0,8020,8067,8010,8067,3847
"86",20070416,0,8072,8095,8023,8057,5309
"87",20070417,0,8098,8110,7955,7964,5925
"88",20070418,0,7971,8013,7946,8010,2647
"89",20070419,0,7961,7981,7826,7839,11850
"90",20070420,0,7880,7910,7868,7887,6402
"91",20070423,0,7966,8060,7966,8016,8910
"92",20070424,0,8010,8045,7968,8038,7890
"93",20070425,0,7995,8008,7952,7960,8405
"94",20070426,0,8040,8044,7970,8002,6809
"95",20070427,0,7995,8020,7922,7946,7966
"96",20070430,0,7930,7936,7824,7850,7867
"97",20070502,0,7864,7922,7851,7896,7124
"98",20070503,0,7938,7958,7843,7936,10000
"99",20070504,0,7950,8080,7950,8057,9129
"100",20070507,0,8092,8134,8080,8114,5962
"101",20070508,0,8114,8124,8066,8072,6890
"102",20070509,0,8080,8095,8043,8068,6884
"103",20070510,0,8095,8114,8071,8109,5284
"104",20070511,0,8030,8043,8005,8021,5947
"105",20070514,0,8070,8084,8021,8044,4775
"106",20070515,0,8033,8038,7951,7969,5234
"107",20070516,0,7957,7995,7957,7991,2341
"108",20070517,0,8000,8057,7999,8015,7872
"109",20070518,0,8015,8037,7971,8030,6644
"110",20070521,0,8050,8138,8015,8122,10400
"111",20070522,0,8122,8178,8117,8176,6881
"112",20070523,0,8180,8220.001,8176,8204,5992
"113",20070524,0,8195,8211,8164,8170,5764
"114",20070525,0,8115,8140,8095,8134,6339
"115",20070528,0,8168,8174,8143,8154,4005
"116",20070529,0,8154,8207,8125,8168,7449
"117",20070530,0,8160,8166,8073,8111,9318
"118",20070531,0,8186,8199,8145,8171,7185
