"","date","time","open","high","low","close","volume"
"1",20210628,0,820,820.9,812.05,818.9,1396
"2",20210629,0,818.6,826.95,817.45,822.15,2021
"3",20210630,0,822.2,831.4,821.35,826.15,2518
"4",20210701,0,826.15,826.9,817.9,820.05,2210
"5",20210702,0,820.05,822.35,815.35,820.25,2014
"6",20210705,0,820,837,820,833.75,2504
"7",20210706,0,833.9,836.95,827.5,829.35,2263
"8",20210707,0,829.35,833.65,825.05,831.4,2897
"9",20210708,0,833.4,835.9,825.95,828.35,3205
"10",20210709,0,826,826.5,816.25,823.7,4099
"11",20210712,0,825.65,838.15,825.65,836.2,4004
"12",20210713,0,836.5,852.4,835.45,846.9,3581
"13",20210714,0,846.9,854,845.8,851.35,4311
"14",20210715,0,851.3,856.55,849.2,853.45,4021
"15",20210716,0,851.9,851.9,833.3,841.7,6036
"16",20210719,0,841.9,843.15,824.15,830.25,4251
"17",20210720,0,830.5,830.55,818,825.2,4001
"18",20210721,0,827.95,829.55,819.65,821.95,2909
"19",20210722,0,819.05,832.7,816.75,826.75,5075
"20",20210723,0,827.85,831.5,821.05,822.95,3961
"21",20210726,0,822.5,826.45,819,819.25,3791
"22",20210727,0,819.25,827.5,815.5,819.7,4304
"23",20210728,0,817.8,820,799,808.1,7333
"24",20210729,0,809.3,819.95,808.45,819.75,4481
"25",20210730,0,820.5,824.4,814.4,817.4,3982
"26",20210802,0,817.95,829.2,816.95,828.9,4388
"27",20210803,0,828.9,832.95,825.25,832.15,3138
"28",20210804,0,832.9,837.9,828.45,836.9,2830
"29",20210805,0,837.2,840.45,835.3,839.1,2043
"30",20210806,0,838.1,839.6,827.15,831.3,3526
"31",20210809,0,831.3,832.85,820.5,827.25,3538
"32",20210810,0,827.9,830.65,820.8,823.1,2963
"33",20210811,0,824.4,824.85,812.65,816.15,4072
"34",20210812,0,815.25,818.85,813,813.35,2961
"35",20210813,0,813.85,816.95,800.95,801.2,3819
"36",20210816,0,799.95,803.5,792.65,797.55,4187
"37",20210817,0,798.75,801.25,786.15,786.7,2477
"38",20210818,0,786.3,794.55,772.9,794.3,2706
"39",20210819,0,787,789.1,769.3,772.95,4516
"40",20210820,0,770,778.1,759.5,764.2,6625
"41",20210823,0,765.6,792,763.7,786.7,3964
"42",20210824,0,786,796,785.2,791.15,3095
"43",20210825,0,792.95,802.9,789.2,801.8,3465
"44",20210826,0,802.65,814.55,801,806.2,4358
"45",20210827,0,805.05,814.5,802.05,811.4,4129
"46",20210830,0,811.8,820.35,811.8,819.2,2861
"47",20210831,0,819.2,827.7,809,826.85,3200
"48",20210901,0,827.8,833.9,822.2,833.45,3332
"49",20210902,0,833.55,837.15,825,826.95,3938
"50",20210903,0,829,838.85,827.85,837.65,3409
"51",20210906,0,836.85,847.35,834.3,842.6,4170
"52",20210907,0,843.05,845.75,828.75,833.5,3450
"53",20210908,0,833,833.95,817.5,823.25,4248
"54",20210909,0,821.65,825.95,813.5,822.2,4403
"55",20210910,0,823,833,821.5,832.3,3452
"56",20210913,0,832.5,833.45,822.65,824.9,2535
"57",20210914,0,825.4,830.3,824,826.3,2411
"58",20210915,0,825.2,826.8,817,820.65,1904
"59",20210916,0,816.5,819.7,809,812.2,2917
"60",20210917,0,811.1,821.8,808.45,816.1,3105
"61",20210922,0,817.1,817.1,792,797.75,3535
"62",20210923,0,798.05,809,796.85,805.05,2782
"63",20210924,0,806,814.8,805.6,814.65,3108
"64",20210927,0,813.55,817.7,810.25,817.15,2570
"65",20210928,0,817.15,817.15,804.65,808.35,3185
"66",20210929,0,806,806.8,784.8,786.8,4515
"67",20210930,0,787.55,794.7,780.35,790.7,4435
"68",20211001,0,790.85,793.65,771.45,776.4,5854
"69",20211004,0,774.45,782.8,767.95,768.9,6694
"70",20211005,0,769.5,774.6,755.5,769,6483
"71",20211006,0,768.95,775.4,764.05,768.9,4786
"72",20211007,0,769.6,789.45,760.45,784.95,6047
"73",20211008,0,786.95,791.45,780.3,782.95,3144
"74",20211012,0,782.55,784.8,765.85,774.4,4478
"75",20211013,0,773,782.6,767.25,767.65,4132
"76",20211014,0,767.75,779.6,765.05,771.8,5037
"77",20211015,0,774.85,796.05,772.45,794.8,4171
"78",20211018,0,795.2,799.7,788.3,789.1,3875
"79",20211019,0,788.3,804,787.3,802.35,2667
"80",20211020,0,803.35,807,802.05,802.7,1253
"81",20211021,0,802.2,809.65,797,797,3130
"82",20211022,0,795.8,806.4,795.8,803.1,2878
"83",20211025,0,803.3,805.95,794.45,802.3,2722
"84",20211026,0,803,811.9,801.9,810.3,2330
